"","user","tweet","lokasi"
"114","fadlinurullah_s","temukan aerostreet hoops low putih hitam hitam sepatu sneaker sport dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"115","fadlinurullah_s","temukan aerostreet jisoo putih abu muda putih sepatu sneakers casual sport pria wanita aero street ll dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"116","fadlinurullah_s","temukan aerostreet dong putih merah biru sepatu sneakers sport dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"117","fadlinurullah_s","temukan aerostreet classic putih hijau tua sepatu sneakers casual dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"118","fadlinurullah_s","temukan aerostreet comfy hitam sepatu slip on slop casual sneaker sekolah pria wanita gg dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"119","fadlinurullah_s","temukan aerostreet hoops low all black sepatu sneakers casual dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"120","fadlinurullah_s","temukan aerostreet osaka abu navy sepatu sneakers casual pria wanita aero street hh dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"121","fadlinurullah_s","temukan aerostreet massive putih gum sepatu sneakers casual pria wanita aero street hh dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"122","fadlinurullah_s","temukan aerostreet riku putih merah sepatu sneakers casual pria wanita aero street ii dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"123","fadlinurullah_s","temukan aerostreet jhosse low hitam sepatu sneakers casual sekolah pria wanita aero street dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"124","fadlinurullah_s","temukan aerostreet arrow putih sepatu sneaker casual dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"125","fadlinurullah_s","temukan aerostreet osaka hitam emas sepatu sneakers casual pria wanita aero street hh dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"126","fadlinurullah_s","temukan aerostreet hoops low putih abu muda sepatu sneakers casual pria wanita aero street dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"127","fadlinurullah_s","temukan aerostreet massive low hitam sepatu sneakers casual pria wanita aero street aa dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"128","fadlinurullah_s","temukan aerostreet osaka abu merah sepatu sneakers casual pria wanita aero street hh dengan potongan hanya rp rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"129","_firzaamanda","promo diskon paulmay sepatu sneakers pria bogota series diskon checkout sekarang",""
"130","AfiPangesti","preloved nama barang pvn nana sepatu sneakers kelengkapan box kondisi barang seperti di foto minus barang ada lecet seperti di foto sudah di pakai alasan jual kekecilan ukuran harga beli k harga jual k nego ig","Kota Madiun, Jawa Timur"
"131","vidyaisvara","promo diskon lurad sepatu wanita boots fashion sepatu sneakers wanita impor comfy stylish qn diskon checkout sekarang",""
"132","outfitpria_id","footstep footwear sepatu pria sneakers fonte full white original shoes link","Indonesia"
"133","W52Hzwh","kalo lihat mbakibu cantik pakai sendal sepatu yang ada haknnya masbapak nyetir mobil pakai sepatu sneakers yang tebal banget aku cant relate itu bagaimana bisa dapat feelnya pas menginjak pedal enakan juga nyeker enggak sih kalo enggak ya pakai sendal tipis biar kerasa pas menginjak pedalnya",""
"134","LosSant0so","promo diskon pvn nayeon sepatu sneakers wanita sport shoes diskon checkout sekarang",""
"135","id_myfashion","flash sale aerostreet jhosse low putih sepatu sneakers casual sekolah pria wanita aero street diskon checkout sekarang","Indonesia"
"136","store_nordic","sepatu putih pria sneakers kets kulit suede casual indoak kali goleum link produk   molen",""
"137","rosaclaudia_r","cek sovella laura sepatu sneakers olahraga simple putih polos wanita import dengan harga rp dapatkan di shopee sekarang",""
"138","OOTDSelebgram_","pvn taeyong sepatu sneakers wanita sport shoes cream cek diskon",""
"139","OOTDSelebgram_","aerostreet kali luwak white coffie tong ji promag tango puromangkunegaran crayon shinchan thailalats sepatu sneakers casual sport pria wanita cek diskon",""
"140","OOTDSelebgram_","aerostreet hoops d reborn low anniversary swallow hitam sepatu sneakers casual sport pria wanita cek diskon",""
"141","OOTDSelebgram_","referensi sepatu sneakers bikin kece sebuah utas",""
"142","sitiwae11","promo diskon pvn jipyeong sepatu wanita sneakers korea import casual shoes black diskon checkout sekarang",""
"143","ArianaAbascal1","promo diskon leedoo sepatu pria running sneakers fashion shoes casual mr a diskon checkout sekarang",""
"144","SATUBSD","coba kita evaluasi lagi sudah benar belum cara milihnya ingat jangan sampai enggak nyaman ya sob sneakers sneakerhead sepatu sepatuoriginal","Tangerang, Indonesia"
"145","tweetoflucky","sepatu pria sneakers running pria yeezy sport fearlesssepatu olah raga prua codrun rr dengan potongan tag bintangsma pasuruansantri whatsapp riptwitter","Indonesia"
"146","goodbrry","shoes cherry cute aesthetic t sepatu sneakers lucu kawaii sebelum twitter hendery molen hoshi rock with you imperfect love sri asih jinggadansenja hah cheers whatsapp",""
"147","LosSant0so","promo diskon pvn sepatu sneakers pria import men shoes kasual hitam diskon checkout sekarang",""
"148","zannakirana_","promo diskon adorableprojects alexa monochrome sneakers sepatu wanita diskon checkout sekarang",""
"149","id_myfashion","flash sale leedoo sepatu pria sneakers fashion running shoes casual mr diskon checkout sekarang","Indonesia"
"150","jaejaesooo","cek favorite free box size sepatu wanita bergerigi sneakers kanvas ankle tinggi betali fashion shoes import premium quality dengan harga rp dapatkan di shopee sekarang",""
"151","ArianaAbascal1","promo diskon aerostreet jhosse high kuning sepatu sneakers casual sekolah pria wanita aero street diskon checkout sekarang",""
"152","suriamanik","<U+3164> sepatu sneakers wanita harga rp <U+3164>","#<U+0001D5FF><U+0001D5F6><U+0001D5FB><U+0001D5F4><U+0001D5F9><U+0001D5F6><U+0001D5FB><U+0001D5F4>-<U+0001D624><U+0001D636><U+0001D62D><U+0001D62A> <U+0F0A>"
