"","user","tweet","lokasi"
"84","Caniaadinda","first time coba kopi kenangan tapi beansnya meminta yang jawara beans enak rasanya jadi mirip kayak tuku setidaknya tidak mirip obat seperti biji reguler",""
"85","aeetakata","kalau ada produk mesir tulisannya kingdom nut isinya coklat isi biji kopi pahit banget",""
"86","yoonshaa","kalo aku sama kopi xixixi","Johnny - Jaehyun"
"87","hunxkayi","kalo ig terlalu personal mungkin kita bisa lebih personal lagie seperti whatsapp misalnya dik soalnya aku join banyak grup sih kayak xunqi indonesia biji kopi dll",""
"88","don4_dona","menenangkan kulit wajah kopi juga mengandung vitamin bertiga niasin yaitu hasil uraian trigonelin setelah biji kopi dipanggang","bradford city<U+264E><U+FE0F>"
"89","JuaraCoding","nama ini diambil dari kopi murni yang digiling langsung dari biji kopi favorit gosling yang berasal dari pulau jawa loh sobat juara",""
"90","Oxlibrawin","aku tadi mikir nya biji kopi sama biji nangka lagi disangrai btw om itu rasanya bagaimana kayak makan apa ya kalo di definisiin","Bandung, Jawa Barat"
"91","Oxlibrawin","mengira biji kopi","Bandung, Jawa Barat"
"92","PresidenKopi","di hp ada kamera biji aku enggak perlu banyak satu saja cukip siapa yang mau nanti ku kasih","kede kopi"
"93","gelaskosong97","sekalikali awali pagi dengan susu sekalikali kita merasakan segarnya susu murni bukan hanya rasa pahit disetiap biji kopi selamat pagi","Galaxy"
"94","Sukiman6611","cek kopi bubuk biji asli arabika wine puntang coffee dengan harga rp dapatkan di shopee sekarang","Mjalaya"
"95","madjid_abdul988","iki seng ngeracuni beralih ke kopi kenangan","smd"
"96","madjid_abdul988","podo pak saiki nek kene donatur e kurang disek enek pean karo pak adi saiki gur pak ebs tok dadi ya kopi kenangan mantan juga","smd"
"97","endomikuah","kalo aku yang paling memorable malah gods menu soalnya pas awal pandemi kulon gabut akhirnya ikut shift malam sama siang dan gila gilaan streaming sama vote soalnya enggak ada pekerjaan lain",""
"98","endomikuah","fesss turu nder",""
